# This file is generated by MACS version 2.2.7.1
# Command line: callpeak -t /data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat --name MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_ --format BED --gsize 2700000000 --call-summits --keep-dup all --d-min 20 --buffer-size 100000 --bdg --qvalue 0.05 --nomodel --extsize 200 --shift -100
# ARGUMENTS LIST:
# name = MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_
# format = BED
# ChIP-seq file = ['/data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat']
# control file = None
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 10000 bps
# Broad region calling is off
# Paired-End mode is off
# Searching for subpeak summits is on

# tag size is determined as 49 bps
# total tags in treatment: 264454
# Sequencing ends will be shifted towards 5' by 100 bp(s)
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr22	29553653	29553921	269	29553792	17	17.3388	9.67742	11.86	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_81
chr22	29603193	29603683	491	29603489	35	28.7749	10.5263	22.5021	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_82
chr22	29766889	29767168	280	29767039	18	14.0581	7.42188	8.80317	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_83
chr22	29838209	29838480	272	29838357	17	12.6124	6.81818	7.46952	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_84
chr22	29883015	29883257	243	29883136	15	11.8334	6.83761	6.75105	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_85
chr22	30289421	30289844	424	30289727	17	8.90491	4.73684	4.06994	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_86
chr22	30326861	30327263	403	30327032	19	16.277	8.47458	10.8738	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_87
chr22	30356531	30357040	510	30356620	13	8.86683	5.46875	4.0359	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_88a
chr22	30356531	30357040	510	30356912	25	22.1006	10.0775	16.3003	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_88b
chr22	30423821	30424244	424	30424057	22	13.2903	6.05263	8.10043	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_89
chr22	30592146	30592393	248	30592269	16	12.9388	7.26496	7.7753	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_90
chr22	30635547	30635756	210	30635646	17	11.4948	6.16438	6.43879	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_91
chr22	30667721	30668014	294	30667867	17	14.5172	7.9646	9.23263	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_92
chr22	30969003	30969291	289	30969135	19	17.0299	8.92857	11.5716	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_93
chr22	31107500	31107770	271	31107657	11	7.83221	5.21739	3.10307	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_94
chr22	31212045	31212368	324	31212205	16	13.3606	7.52212	8.16216	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_95
chr22	31290630	31290940	311	31290812	22	15.4506	7.1875	10.1019	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_96
chr22	31346282	31346502	221	31346383	22	11.5992	5.22727	6.53524	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_97
chr22	31399360	31399640	281	31399495	22	20.7793	10.2679	15.0582	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_98
chr22	31489841	31490077	237	31489946	18	11.4177	5.90062	6.36894	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_99
chr22	31496230	31496650	421	31496449	27	21.3415	9.03226	15.583	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_100
chr22	31662128	31662403	276	31662268	21	17.2238	8.46154	11.7519	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_101
chr22	31749897	31750365	469	31750153	29	16.0963	6.0241	10.7068	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_102
chr22	31753736	31754055	320	31753912	28	15.0535	5.75397	9.73384	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_103
chr22	31943966	31944199	234	31944076	16	9.06816	5	4.22106	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_104
chr22	32475193	32475433	241	32475402	11	6.70128	4.51128	2.16628	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_105
chr22	33243766	33244141	376	33243899	17	13.3493	7.25806	8.15516	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_106
chr22	33325766	33325965	200	33325863	12	8.38514	5.3719	3.61078	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_107
chr22	33568182	33568388	207	33568281	18	12.811	6.69014	7.65377	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_108
chr22	33921007	33921264	258	33921103	16	10.6593	5.90278	5.677	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_109
chr22	35128784	35128991	208	35128883	15	9.63462	5.51724	4.74264	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_110
chr22	35299732	35300329	598	35300160	33	27.5059	10.4938	21.3406	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_111
chr22	35399948	35400224	277	35400070	21	14.1213	6.70732	8.86214	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_112
chr22	36123996	36124195	200	36124090	15	12.5432	7.27273	7.40321	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_113
chr22	36239588	36239787	200	36239718	11	9.69844	6.38298	4.80218	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_114
chr22	36387973	36388340	368	36388147	31	21.4985	8.0402	15.7368	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_115
chr22	36451765	36452032	268	36451918	25	18.5274	8.07453	12.9572	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_116
chr22	36481493	36481744	252	36481616	12	6.40219	4.16667	1.90544	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_117
chr22	36481997	36482295	299	36482161	23	17.0249	7.79221	11.5694	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_118
chr22	36529122	36529649	528	36529344	29	25.2517	10.5634	19.2327	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_119
chr22	36776075	36776574	500	36776298	30	26.4791	10.9155	20.3832	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_120
chr22	37149879	37150293	415	37150027	18	15.3379	8.18966	9.99731	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_121
chr22	37199301	37199658	358	37199499	21	14.9998	7.18954	9.68267	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_122
chr22	37218707	37219167	461	37219016	22	17.8187	8.51852	12.2995	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_123
chr22	37242511	37242798	288	37242650	27	21.2346	8.97436	15.4795	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_124
chr22	37244202	37244424	223	37244314	23	16.843	7.69231	11.3968	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_125
chr22	37284895	37285105	211	37284993	15	11.0308	6.34921	6.01724	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_126
chr22	37608413	37608986	574	37608710	24	15.825	6.90608	10.4562	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_127
chr22	37658329	37658825	497	37658592	29	21.0657	8.33333	15.3232	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_128
chr22	37746019	37746234	216	37746174	14	8.95381	5.31915	4.11603	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_129
chr22	37844112	37844567	456	37844388	37	33.6627	12.4183	26.9564	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_130
chr22	37906137	37906340	204	37906257	12	11.511	7.30337	6.45301	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_131
chr22	38162213	38162418	206	38162320	13	12.2054	7.52688	7.096	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_132
chr22	38181750	38182143	394	38181942	33	27.7551	10.625	21.5571	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_133
chr22	38201813	38202018	206	38201973	14	9.85287	5.85938	4.9405	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_134
chr22	38506355	38506834	480	38506535	20	14.3818	7.09459	9.10634	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_135
chr22	38570155	38570545	391	38570300	15	12.2286	7.07965	7.11541	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_136
chr22	38700874	38701200	327	38701073	18	7.95603	4.11255	3.21781	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_137
chr22	38705379	38705954	576	38705546	38	26.2223	8.51528	20.1583	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_138
chr22	38755925	38756177	253	38756057	25	15.7936	6.66667	10.4296	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_139
chr22	39145644	39145869	226	39145755	16	10.4518	5.78231	5.48488	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_140
chr22	39152639	39152903	265	39152782	15	10.2531	5.88235	5.30194	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_141
chr22	39319523	39319858	336	39319692	22	15.6173	7.27848	10.2628	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_142
chr22	39399671	39399933	263	39399804	15	12.7625	7.40741	7.6112	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_143
chr22	39447187	39447401	215	39447355	19	11.7718	5.88235	6.69519	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_144
chr22	39502088	39502472	385	39502287	23	21.0103	10.084	15.2762	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_145
chr22	39532799	39533121	323	39532977	28	16.763	6.50224	11.3285	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_146
chr22	39900929	39901155	227	39901041	16	12.5433	7.02479	7.40321	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_147
chr22	39910166	39910479	314	39910281	18	14.3571	7.6	9.08431	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_148
chr22	40044232	40044820	589	40044324	18	10.2697	5.27778	5.3165	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_149a
chr22	40044232	40044820	589	40044637	35	27.7291	10	21.5357	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_149b
chr22	40177766	40178028	263	40177891	18	16.3383	8.7963	10.9293	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_150
chr22	40346388	40346664	277	40346499	14	12.5229	7.5	7.38714	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_151
chr22	40636615	40637060	446	40636825	41	34.6896	11.6022	27.902	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_152
chr22	40819355	40819594	240	40819468	22	17.2892	8.21429	11.8152	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_153
chr22	40856514	40856827	314	40856677	35	31.2852	11.8421	24.8068	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_154
chr22	40856949	40857155	207	40857059	16	10.2513	5.66667	5.30099	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_155
chr22	40950989	40951415	427	40951198	27	17.8267	7.2165	12.3049	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_156
chr22	40951517	40951855	339	40951689	35	26.5519	9.42408	20.4489	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_157
chr22	41022527	41022767	241	41022659	16	11.9063	6.64062	6.8209	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_158
chr22	41069021	41069268	248	41069137	14	12.1676	7.28155	7.06285	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_159
chr22	41091463	41092032	570	41091629	30	21.1421	8.11518	15.3944	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_160
chr22	41205118	41205374	257	41205239	17	14.5172	7.9646	9.23263	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_161
chr22	41286174	41286575	402	41286377	40	34.8133	11.9883	28.0017	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_162
chr22	41381317	41381563	247	41381445	18	10.2697	5.27778	5.3165	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_163
chr22	41381641	41381987	347	41381840	27	18.9534	7.77778	13.3501	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_164
chr22	41413580	41413786	207	41413672	13	6.89429	4.29448	2.31607	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_165
